jack	dZ'ak
jacked	dZ'akt
jacket	dZ'akI2t
jackets	dZ'akI2ts
jacking	dZ'akIN
jackinng	dZ'akInN
jackinthebox	dZ'akInT,Eb0ks
jackk	dZ'akk
jackman	dZ'akm@n
jacko	dZ'akoU
jackseriously	dZaks'i@rI;@sli
jackson	dZ'aks@n
jacksons	dZ'aks@nz
jackwob	dZ'akw0b
jacob	dZ'eIk@b
jacobs	dZ'eIk@bz
jada	dZ'A:d@
jade	dZ'eId
jadzia	dZ'adzi;@
jae	dZ'i:
jaffa	dZ'af@
jaffers	dZ'af3z
jai	dZ'aI
jail	dZ'eIl
jailbrokenunlocked	dZ'eIlbroUkn,Vnl0kt
jailed	dZ'eIld
jaja	dZ'A:dZ@
jajaja	dZadZ'A:dZ@
jajajaja	dZ,adZa#dZ'A:dZ@
jajajajaja	dZ,adZa#dZa#dZ'A:dZ@
jajap	dZ'adZap
jake	dZ'eIk
jaks	dZ'aks
jam	dZ'am
jamacayew	dZ'ama#k,eIju:
jamaica	dZa#m'eIk@
james	dZ'eImz
jamie	dZ'eImi
jamin	dZ'amIn
jammas	dZ'am@z
jammed	dZ'amd
jammies	dZ'amIz
jamming	dZ'amIN
jams	dZ'amz
jan	dZ'an
jane	dZ'eIn
janet	dZ'anI2t
jansport	dZ'anspo@t
january	dZ'anju:@r,i
japan	dZ@p'an
japanese	dZ,ap@n'i:z
jar	dZ'A@
jarrod	dZ'ar0d
jars	dZ'A@z
jasmin	dZ'azmIn
jasmine	dZ'azmIn
jason	dZ'eIs@n
java	dZ'A:v@
javeed	dZ'avi:d
jay	dZ'eI
jaybee	dZ'eIbi:
jaykay	dZ'eIkeI
jayy	dZ'eIi
jb	dZ,eIb'i:
jbatman	dZ'eIb'atm@n
jbs	dZ,eIb,i:;'Es
jc	dZ,eIs'i:
jcorrea	dZ'eIk0r'i@
jd	dZ,eId'i:
jdoir	dZ'eIdw'A@
je	dZ'i:
jealous	dZ'El@s
jealousi	dZ'ElaUs,i
jealouswitch	dZ'ElaUsw,ItS
jealousy	dZ'El@si
jeans	dZ'i:nz
jeaousy	dZ'i:;@si
jeep	dZ'i:p
jeez	dZ'i:z
jeeze	dZ'i:z
jeezz	dZ'i:z
jeffery	dZ'Ef@ri
jeffrey	dZ'EfrI
jello	dZ'EloU
jelly	dZ'ElI
jellyfish	dZ'ElIfI2S
jelous	dZ'El@s
jelousyy	dZ'ElaUsI;i
jelouz	dZ'Elu:z
jemma	dZ'Em@
jemmaa	dZ'EmA:
jenna	dZ'En@
jennie	dZ'Eni
jennifer	dZ'EnIf3
jenny	dZ'Eni
jensen	dZ'Ens@n
jensens	dZ'Ens@nz
jer	dZ'3:
jeremy	dZ'Er@mi
jerk	dZ'3:k
jerkers	dZ'3:k3z
jerkin	dZ'3:kIn
jerks	dZ'3:ks
jerky	dZ'3:ki
jerrk	dZ'Erk
jerry	dZ'Eri
jerryka	dZ'ErIk@
jerrykar	dZ'ErIk,A@
jerrys	dZ'ErIz
jersey	dZ'3:sI
jess	dZ'Es
jessica	dZ'EsIk@
jessicaa	dZ'EsIk,A:
jessicajarrell	dZ'EsIk,adZar@L
jesus	dZ'i:z@s
jesuss	dZ'EsVs
jet	dZ'Et
jets	dZ'Ets
jew	dZ'u:
jewel	dZ'u:@l
jewelery	dZ'u:@l@ri
jewellery	dZ'u:@l@ri
jewellry	dZ'u:@lri
jewelry	dZ'u:@lri
jewish	dZ'u:I2S
jews	dZ'u:z
jezus	dZ'Ez@s
jezuss	dZ'EzVs
jezz	dZ'Ez
jhess	dZ'eIh'Es
jhocehoe	dZ'eIh'oUshoU
jhon	dZ'eIh'0n
ji	dZ'aI
jieber	dZ'i:b3
jiggy	dZ'Igi
jillynate	dZ'IlIn,eIt
jim	dZ'Im
jimmy	dZ'Imi
jinxing	dZ'INksIN
jist	dZ'Ist
jit	dZ'It
jits	dZ'Its
jizz	dZ'Iz
jizzed	dZ'Izd
jj	dZ,eIdZ'eI
jjs	dZ,eIdZ,eI'Es
jjust	dZ'eIdZ'Vst
jk	dZ,eIk'eI
jkayy	dZ'eIk'eIi
jkjk	dZ,eIk,eIdZ,eIk'eI
jkjkjk	dZ,eIk,eIdZ'eIk,eIdZ,eIk'eI
jkk	dZ,eIk,eIk'eI
jkr	dZ,eIk,eI'A@
jks	dZ,eIk,eI'Es
jksily	dZ,eIk'eIs'Ili
jo	dZ'oU
job	dZ'0b
jobfinger	dZ'0bfINg3
jobmeans	dZ'0bmi@nz
jobs	dZ'0bz
jock	dZ'0k
jockerr	dZ'0ke@
jockstrap	dZ'0kstrap
joel	dZ'oUl
joes	dZ'oUz
jogging	dZ'0gIN
john	dZ'0n
johnny	dZ'0ni
joie	Zw'A:
joiee	dZ'OIi:
joiiee	dZ'OII
join	dZ'OIn
joined	dZ'OInd
joining	dZ'OInIN
joins	dZ'OInz
joint	dZ'OInt
jointed	dZ'OIntI2d
joints	dZ'OInts
joke	dZ'oUk
joker	dZ'oUk3
jokes	dZ'oUks
joking	dZ'oUkIN
jolie	dZ'oUli
jon	dZ'0n
jonas	dZ'oUn@z
jonathon	dZ'0n@T@n
jones	dZ'oUnz
jordan	dZ'o@d@n
jordann	dZ'o@dan
jordin	dZ'o@dIn
jordon	dZ'o@d@n
jordy	dZ'o@di
jose	hoUs'eI
josh	dZ'0S
joshh	dZ'0S
joshy	dZ'0Si
josie	dZ'oUsi
journal	dZ'3:n@L
journeys	dZ'3:nIz
joxx	dZ'0ks
joxxs	dZ'0ksz
joy	dZ'OI
joyas	dZ'OI@z
jr	dZ,eI'A@
jrkn	dZ,eI,A@k,eI'En
js	dZ,eI'Es
jst	dZ,eI,Est'i:
jsut	dZ'eIs'Vt
ju	dZ'u:
juan	hw'A:n
juat	dZj'u:at
judaism	dZ'u:deI,Iz@m
judge	dZ'VdZ
judgement	dZ'VdZm@nt
judger	dZ'VdZ3
judges	dZ'VdZI2z
judging	dZ'VdZIN
judgment	dZ'VdZm@nt
judgments	dZ'VdZm@nts
jug	dZ'Vg
juice	dZ'u:s
juices	dZ'u:sI2z
juicey	dZ'u:sI
juicy	dZ'u:si
jujur	dZ'u:dZ3:
julia	dZ'u:li;@
juliards	dZ'u:lI2;3dz
julie	dZ'u:li
julies	dZu:l'aIz
july	dZu:l'aI
jump	dZ'Vmp
jumped	dZ'Vmpt
jumper	dZ'Vmp3
jumpers	dZ'Vmp3z
jumping	dZ'VmpIN
jumprope	dZ'Vmpr0p
jumps	dZ'Vmps
june	dZj'u:n
jungleness	dZ'VNg@Ln@s
junior	dZ'u:nj3
junk	dZ'VNk
junkie	dZ'VNki
juno	dZ'u:noU
jupiter	dZ'u:pIt3
jur	dZ'3:
jurr	dZ'3:
jus	dZ'Vs
juss	dZ'Vs
jussayin	dZ'VseI,In
just	dZ'Vst
justice	dZ'VstI2s
justified	dZ'VstI2f,aId
justifiedr	dZ'VstIf,Id3
justifiy	dZ'VstIf,I;i
justin	dZ'VstIn
justinbieber	dZ'VstInb,Ib3
justins	dZ'VstInz
justsayingg	dZ'VstseI,INg
justt	dZ'Vst
juts	dZ'Vts
juu	dZ'Vu:
juust	dZ'VVst
juvenile	dZ'u:v@n,aIl
juz	dZ'Vz
juzz	dZ'Vz
k	k'eI
kaameehaameehaa	k'A:mi:h,A:mi:h,A:
kaay	k'A:r-i
kababs	k'ababz
kafta	k'aaft@
kahn	k'A:n
kailee	k'aIli:
kailey	k'aIlI
kains	k'aInz
kalelyahoocom	k'eIllI;,ahu:k,0m
kali	k'A:li
kall	k'O:l
kalled	k'O:ld
kamu	k'A:mu:
kan	k'an
kandel	k'and@L
kangers	k'aNg3z
kann	k'an
kansas	k'anz@s
kant	k'aant
kanye	k'anaI
kapisi	k'eIpIs,i
kara	k'A@r@
karate	k@r'A:ti
kardashian	kA@d'aSi@n
kardashians	kA@d'aSi@nz
kare	k'e@
karma	k'A@m@
karmasutra	k'A@ma#s,Vtr@
kasey	k'eIsi
kaseynoo	k'eIsIn,u:
kaseys	k'eIsIz
kashmir	k'aSmi@3
kassie	k'asi
kat	k'at
katch	k'atS
kate	k'eIt
katellyn	k'eIt@L,In
kathryn	k'aTrIn
katiana	k,eISi:;'an@
katie	k'eIti
katies	k'eItIz
katiethe	k'ati@D
katmeg	k'atmEg
katryna	katr'i:n@
kats	k'ats
katy	k'eIti
kaveens	k'avi:nz
kay	k'eI
kaya	k'eI@
kayas	k'eI@z
kaydoll	k'eId0l
kaykay	k'eIkeI
kayl	k'eIl
kayla	k'eIl@
kaylaif	k'eIleIf
kaylanot	k'eIla#n,0t
kaylas	k'eIl@z
kayy	k'eIi
kayz	k'eIz
kazakhstan	k'aza#khst,an
kazz	k'az
kazza	k'az@
kcoolbye	k'eIk'u:lbaI
kcutie	k'eIkj'u:ti
kdawg	k'eId'O:g
kee	k'i:
keece	k'i:s
keedingg	k'i:dINg
keen	k'i:n
keenest	k'i:n@st
keep	k'i:p
keepers	k'i:p3z
keepin	k'i:pIn
keeping	k'i:pIN
keeps	k'i:ps
keffy	k'EfI
keha	k'Eh@
keiha	k'eIh@
kel	k'El
kell	k'El
kellbell	k'ElbEl
kelly	k'Eli
kellyblake	k'ElIbl,eIk
kellys	k'Eliz
kendra	k'Endr@
kendraclarkyahoocom	k'Endra#kl,A@kI;,ahu:k,0m
kenna	k'En@
kennedys	k'En@dIz
kennewick	k'Enju:,Ik
kentucky	kEnt'Vki
kenyiaposs	k'EnI;,I;a#p,0s
kept	k'Ept
keri	k'Eri
kersley	k'3:slI
kersleyy	k'3:slaIi
kesha	k'ES@
ket	k'Et
ketchup	k'EtSVp
kettle	k'Et@L
kevin	k'EvIn
kewel	kj'u:@L
kewl	kj'u:l
kexy	k'Eksi
key	k'i:
keyboard	k'i:bo@d
keycard	k'i:kA@d
keychain	k'i:tSeIn
keyd	k'i:d
keys	k'i:z
kfc	k,eI,Efs'i:
khaos	k'A:r-oUz
khia	k'aI@
khloue	k,eI'eItSl'aU
khow	k'aU
ki	k'aI
kick	k'Ik
kickass	k'Ikas
kickboxing	k'Ikb0ksIN
kicked	k'Ikt
kicking	k'IkIN
kickinn	k'IkIn
kickout	k'IkaUt
kicks	k'Iks
kid	k'Id
kidd	k'Id
kiddies	k'IdIz
kiddin	k'IdIn
kidding	k'IdIN
kiddo	k'IdoU
kiding	k'aIdIN
kidkbozing	k'IdkboUzIN
kidn	k'Id@n
kidnap	k'Idnap
kidnapped	k'Idnapt
kidr	k'Id3
kids	k'Idz
kiidding	k'I;IdIN
kiis	k'I;aIz
kik	k'Ik
kikk	k'Ik
kill	k'Il
killdd	k'Ild
killed	k'Ild
killer	k'Il3
killers	k'Il3z
killersect	k'Il@s,Ekt
killing	k'IlIN
kills	k'Ilz
killt	k'Ilt
kim	k'Im
kimm	k'Im
kind	k'aInd
kinda	k'aInd@
kindabut	k'aInda#b,Vt
kindaright	k'aIndA@r-,aIt
kindd	k'aInd
kindda	k'aInd@
kinder	k'aInd3
kindergarten	k'Ind3g,A@t@n
kindest	k'aInd@st
kindgroup	k'aIndgru:p
kindin	k'aIndIn
kindly	k'aIndli
kindness	k'aIndn@s
kinds	k'aIndz
king	k'IN
kingor	k'INg3
kings	k'INz
kingston	k'INst@n
kingy	k'INi
kink	k'INk
kinky	k'INki
kinn	k'In
kinqstn	k'Inkst@n
kising	k'aIzIN
kiss	k'Is
kissableand	k'IseIb@L,and
kissed	k'Ist
kisser	k'Is3
kisses	k'IsI2z
kissesall	k'IsI2s,O:l
kissesr	k'IsEs3
kissin	k'IsIn
kissing	k'IsIN
kissingdid	k'IsINd,Id
kissy	k'Isi
kit	k'It
kitchen	k'ItS@n
kitchenabout	k'ItS@n,abaUt
kits	k'Its
kittens	k'It@nz
kitties	k'ItIz
kitty	k'Iti
kiwi	k'i:wi:
kiwis	k'i:wi:z
kiya	k'Ij@
kk	k,eIk'eI
kkayy	k'eIk'eIi
kknow	k'eIn'oU
kl	k,eI'El
klean	kl'i:n
kleaned	kl'i:nd
kleanin	kl'i:nIn
klondick	kl'0ndIk
klothes	kl'0Dz
kltz	k,eI,Elt,i:z'Ed
klutsness	kl'Vtsn@s
klutz	kl'Vts
kmart	k'eIm'A@t
kn	k,eI'En
knd	k,eI,End'i:
knees	n'i:z
kneeswill	n'i:swIl
knew	nj'u:
knife	n'aIf
knit	n'It
knnow	k,eI'Enn'aU
kno	n'oU
knock	n'0k
knocked	n'0kt
knockers	n'0k3z
knocks	n'0ks
knoe	n'oU
knoee	n'oU
knoer	n'oU3
knoo	n'u:
knoow	n'u:w
knooww	n'u:w@
know	n'oU
knowhaha	noUh'A:h@
knowif	n'oUIf
knowim	n'oUI2m
knowin	n'oUIn
knowing	n'oUIN
knowjust	n'oUdZVst
knowledge	n'0lIdZ
knowlege	n'oUlEdZ
known	n'oUn
knowplus	n'oUpl@s
knowquot	n'oUkw0t
knows	n'oUz
knowss	n'oUs
knowuhh	n'oUu:
knoww	n'oUw@
knowwr	n'oUU3
knuckles	n'Vk@Lz
knw	k,eI,End'Vb@Lj,u:
knwo	k,eI,End,Vb@Lj,u:'oU
koala	koU'A:l@
koalas	koU'A:l@z
kobe	k'oUb
kohls	k'oUlz
komment	k'0m@nt
kong	k'0N
konkie	k'0Nki
koo	k'u:
kool	k'u:l
koolaid	k'u:leId
koolies	k'u:liz
kooliess	k'u:lIs
korean	kOr'i:;@n
korn	k'O@n
kountslol	k'u:ntsl0l
kow	k'aU
kpax	k'eIp'aks
kql	k,eIkj,u:'El
kr	k,eI'A@
krawt	kr'O:t
kreme	kr'i:m
krispy	kr'Ispi
krissy	kr'Isi
krista	kr'Ist@
kristens	kr'Ist@nz
kristy	kr'Isti
kroger	kr'oUg3
kruger	kr'u:g3
kryptonite	kr'Ipt@n,aIt
krystal	kr'Ist@L
kthx	k,eIt,i:;,eItS'Eks
kthxbye	k,eIt,i:;,eItS'Eksb'aI
kudos	kj'u:doUz
kum	k'Vm
kumar	kj'u:m3
kume	kj'u:m
kumin	kj'u:mIn
kums	k'Vmz
kung	k'VN
kunt	k'Vnt
kurt	k'3:t
kus	k'Vs
kuss	k'Vs
kute	kj'u:t
kutee	kj'u:ti:
kuute	k'Vju:t
kuwld	k'Vwld
kuyte	k'aIt
kuz	k'Vz
kuzo	kj'u:zoU
kyle	k'aIl
kylee	k'aIli:
kyou	k'aIoU,u:
l	'El
la	l'a
laav	l'A:v
laavv	l'A:v
lab	l'ab
label	l'eIb@L
labled	l'eIb@Ld
labour	l'eIb3
labyrinth	l'ab3r-,InT
lac	l'ak
lace	l'eIs
laces	l'eIsI2z
lack	l'ak
ladder	l'ad3
ladie	l'eIdi
ladies	l'eIdIz
lady	l'eIdi
ladybug	l'eIdIb,Vg
ladybugs	l'eIdIb,Vgz
ladydude	l'eIdIdj,u:d
ladygaga	l,eIdIg'A:g@
lag	l'ag
lagg	l'ag
lagos	l'eIg0s
lahh	l'A:
laid	l'eId
laidback	l'eIdbak
lair	l'e@
lairs	l'e@z
lake	l'eIk
laker	l'eIk3
lakerrss	l'ak3r-@s
lakers	l'eIk3z
lakerss	l'ak3s
lakes	l'eIks
lakez	l'eIkEz
lala	l'A:l@
lalalala	l,ala#l'A:l@
lalalalalalala	l,ala#l,ala#la#l'A:l@
lalalarvee	l'ala#l,A@vi:
lalalovee	l'ala#l,Vvi:
lalas	l'A:l@z
lalu	l'A:lu:
lam	l'am
lamb	l'am
lambert	l'amb3t
lame	l'eIm
lamebook	l'eImbUk
lamee	l'ami:
lameskeez	l'eImski:z
lamoruex	l'amo@r,u:ks
lamp	l'amp
lamps	l'amps
land	l'and
landed	l'andI2d
lander	l'and3
landfill	l'andfIl
landing	l'andIN
landon	l'and@n
lanes	l'eInz
language	l'aNgwIdZ
languagedid	l'aNgwIdZ,EdId
languagei	l'aNgwIdZ,eI
languages	l'aNgwIdZI2z
lap	l'ap
lapsbutterfly	l'apsb@t3fl,aI
laptop	l'apt0p
laquot	l'akw0t
larceny	l'A@s@ni
large	l'A@dZ
largee	l'A@dZi:
larger	l'A@dZ3
largest	l'A@dZ@st
larios	l'A@r-I2;,oUz
larmaa	l'A@mA:
larry	l'ari
larvae	l'A@vi:
las	l'as
lasagna	l@z'anj@
lasagne	l@z'anj@
lasers	l'eIz3z
lasst	l'ast
last	l'aast
lastnight	l'aastnaIt
lastquot	l'aastkw0t
lasts	l'aasts
lastsong	l'aasts0N
lastt	l'aast
laswtnight	l'aswtnaIt
lat	l'at
lataz	l'ataz
latches	l'atSI2z
late	l'eIt
lateduh	l'eItdV
lateley	l'eItlI
lately	l'eItli
later	l'eIt3
latergonna	l'at3g,0n@
laterquot	l'at3kw,0t
laterr	l'ate@
laters	l'eIt3z
laterz	l'at3:z
lates	l'eIts
latest	l'eIt@st
latifa	l'atIf@
latifas	l'atIf@z
latin	l'atIn
latinas	lat'i:n@z
latino	lat'i:noU
latinos	lat'i:noUz
laugh	l'aaf
laughcry	l'aafkri
laughed	l'aafd
laughh	l'aaf
laughing	l'aafIN
laughingapos	l,aafINg'A:poUz
laughr	l'aaf3
laughs	l'aafz
laughter	l'aaft3
laughteryou	l'aaft3j,u:
lauging	l'O:dZIN
laundry	l'O:ndri
laura	l'O:r@
lauraa	l'O:rA:
lauraaposs	l'O:rA:p,0s
laurayou	l'O:reI,u:
lauren	l'O:r@n
laurenn	l'O:rEn
laurra	l'O:r@
lautners	l'O:tn3z
lavee	l'avi:
laveeyouu	l'avi:j,aUu:
lavendar	l'av@nd3
lavender	l'av@nd3
laverly	l'eIv3li
laverlyy	l'av3lI;i
law	l'O:
lawl	l'O:l
lawn	l'O:n
laws	l'O:z
lawyer	l'OI3
lay	l'eI
layd	l'eId
layered	l'eI3d
laying	l'eIIN
layout	l'eIaUt
lazy	l'eIzi
lazyy	l'eIzI;i
lazzii	l'azI;,aI
lbb	,Elb,i:b'i:
lbd	,Elb,i:d'i:
lbs	p'aUndz
ld	,Eld'i:
lds	,Eld,i:;'Es
le	l'@_|
lead	l'i:d
leader	l'i:d3
leading	l'i:dIN
leadouch	l'i:du:S
leads	l'i:dz
leaf	l'i:f
leagal	l'i:g@L
leagion	l'i:dZ@n
league	l'i:g
leak	l'i:k
leaning	l'i:nIN
learn	l'3:n
learned	l'3:nd
learnin	l'3:nIn
learning	l'3:nIN
learnquot	l'3:nkw0t
learnt	l'3:nt
least	l'i:st
leather	l'ED3
leave	l'i:v
leavelive	l'i:vI2l,Iv
leavep	l'i:vEp
leaver	l'i:v3
leaves	l'i:vz
leaving	l'i:vIN
lebos	l'i:boUz
lebron	l'Ebr0n
lecture	l'EktS3
lecturing	l'EktS3r-IN
led	l'Ed
lee	l'i:
leeme	l'i:m
leet	l'i:t
lef	l'Ef
left	l'Eft
leftovers	l'EftoUv3z
leftr	l'Eft3
leftt	l'Eft
leftywhich	l'EftIw,ItS
leg	l'Eg
legal	l'i:g@L
legalize	l'i:g@L,aIz
legally	l'i:g@Li
legend	l'EdZ@nd
legged	l'EgId
leggings	l'EgINz
legilizing	l'EdZIl,aIzIN
legion	l'i:dZ@n
legit	l@dZ'It
legos	l'EgoUz
legs	l'Egz
legsquot	l'Egskw0t
leicester	l'Est3
leithhead	l'i:ThEd
lem	l'Em
lemenadee	l'Em@n,adi:
lemoanade	l'EmoUn,eId
lemon	l'Em@n
lemonade	l,Em@n'eId
lemons	l'Em@nz
lend	l'End
length	l'ENT
lennox	l'En0ks
lens	l'Enz
lenses	l'EnzI2z
lent	l'Ent
leo	l'i:;oU
leonard	l'En3d
leonardo	li@n'A@doU
leopard	l'Ep3d
leppard	l'Ep3d
leprechaun	l'Epr@k,O:n
leprecon	l'EprEk@n
lerner	l'3:n3
les	l'Es
lesbain	l'EsbeIn
lesbian	l'Esbi@n
lesbians	l'Esbi@nz
less	l'Es
lessening	l'Es@nIN
lessest	l'Es@st
lessnaughty	l'EsnO:ti
lesson	l'Es@n
lessons	l'Es@nz
lest	l'Est
lester	l'Est3
let	l'Et
letaposs	l'Eta#p,0s
lethal	l'i:T@L
lets	l'Ets
letss	l'Ets
lett	l'Et
letter	l'Et3
letterbox	l'Et3b,0ks
letters	l'Et3z
letting	l'EtIN
lettuce	l'EtIs
leueis	l'u:eIz
level	l'Ev@L
levels	l'Ev@Lz
leviaposs	l'EvI;,ap0s
levis	l'EvIs
lewk	l'u:k
lexi	l'Eksi
lexiflagss	l'EksIfl,ags
lexii	l'EksI;,aI
lexis	l'EksIs
lexxi	l'Eksi
leys	l'eIz
lezbian	l'Ezbi@n
lezzboo	l'Ezbu:
lezzdooitt	l'Ezdu:,It
lf	,El'Ef
lhfao	,El'eItSf'aU
liar	l'aI@
liaryou	l'aI@r-I;,u:
library	l'aIbr@ri
lice	l'aIs
licence	l'aIs@ns
license	l'aIs@ns
licenses	l'aIs@nsI2z
licience	l'IS@ns
lick	l'Ik
licked	l'Ikt
lickk	l'Ikk
licks	l'Iks
liddol	l'Id0l
lie	l'aI
lied	l'aId
liek	l'i:k
lien	l'i:;@n
lienlol	l'i@nl0l
liequot	l'i:kw0t
lier	l'aI@
liers	l'aI@z
lies	l'aIz
life	l'aIf
lifeby	l'aIfbi
lifee	l'Ifi:
lifeguard	l'aIfgA@d
lifei	l'aIfaI
lifeless	l'aIfl@s
lifemine	l'aIfmaIn
lifequot	l'aIfkw0t
lifer	l'aIf3
lifes	l'aIfs
lifeso	l'aIfsoU
lifestyle	l'aIfstaIl
lifestyles	l'aIfstaIlz
lifetime	l'aIftaIm
lifeur	l'aIf3:
lifeway	l'aIfweI
lifted	l'IftI2d
lifts	l'Ifts
ligerie	l'aIdZ@ri
lighht	l'Ight
light	l'aIt
lighted	l'aItI2d
lighter	l'aIt3
lightheaded	l'aIthEdI2d
lighting	l'aItIN
lightly	l'aItli
lightning	l'aItnIN
lights	l'aIts
lightsaber	l'aItseIb3
liil	l'I;Il
lik	l'Ik
like	l'aIk
likea	l'aIki@
likeaposa	l,aIka#p'oUs@
likechickety	l'aIktSIkI2ti
liked	l'aIkt
likedislike	l'aIkdIzl,aIk
likee	l'Iki:
likeenjoy	l'Iki:ndZ,OI
likeing	l'aIkIN
likely	l'aIkli
liken	l'aIk@n
likepurple	l'aIkp3:p@L
liker	l'aIk3
likeresemble	l'aIkrI2s,Emb@L
likes	l'aIks
likey	l'aIki
likin	l'IkIn
liking	l'aIkIN
lil	l'Il
lilgegoyounggyahoocom	l'IldZI2g,OI@NdZI;,ahu:k,0m
lilies	l'Iliz
lilo	l'aIloU
lily	l'Ili
limbo	l'ImboU
limbs	l'Imz
lime	l'aIm
limit	l'ImIt
limitations	l,ImIt'eIS@nz
limited	l'ImItI2d
limits	l'ImIts
limousiner	l'Im@z,i:n3
limping	l'ImpIN
lincoln	l'Ink@n
lindsay	l'Inzi
lindsey	l'Inzi
line	l'aIn
lineant	l'Ini:nt
linedance	l'aInd@ns
linenot	l'aInn0t
liner	l'aIn3
linersquot	l'aIn3skw,0t
lines	l'aInz
linesits	l'aInsIts
linger	l'INg3
lingerie	l'0nZ@r,i
lingering	l'INg3r-IN
lingo	l'INgoU
linguine	l'INgwaIn
lining	l'aInIN
link	l'INk
linkin	l'INkIn
linking	l'INkIN
links	l'INks
linsten	l'Inst@n
lint	l'Int
lion	l'aI@n
lionrawrr	l'aI@nrO:r
lions	l'aI@nz
lip	l'Ip
lipgloss	l'Ipgl0s
lips	l'Ips
lipstick	l'IpstIk
lipszz	l'Ipsz
liqour	l'Ik3
liqueur	lI2kj'U@
liquid	l'IkwId
liquids	l'IkwIdz
liquor	l'Ik3
liquored	l'Ik3d
liscence	l'Is@ns
lise	l'aIz
lisha	l'i:S@
list	l'Ist
listd	l'Istd
listen	l'Is@n
listened	l'Is@nd
listener	l'Is@n3
listening	l'Is@nIN
listenn	l'Is@n
listens	l'Is@nz
listr	l'Ist3
lists	l'Ists
lit	l'It
lite	l'aIt
liter	l'i:t3
literal	l'It3r@L
literally	l'It3r@Li
literary	l'It3r@ri
lito	l'i:toU
litter	l'It3
litterally	l'It3r@Li
littla	l'Itl@
little	l'It@L
littlemonster	l'It@Lm,0nst3
live	l'aIv
lived	l'Ivd
livejournal	l'aIvdZ3:n@L
lively	l'aIvlI
livepluto	laIvpl'u:toU
livequotquotthats	l'aIvkw@tkw,0tTats
lives	l'aIvz
livin	l'IvIn
living	l'IvIN
lizards	l'Iz3dz
lj	,EldZ'eI
lk	,Elk'eI
ll	,El'El
llalala	lal'A:l@
llama	l'A:m@
llamas	l'A:m@z
llegal	l'i:g@L
llevar	l'EvA@
llikkee	l'Iki:
llmao	,El'Elm'aU
llol	l'0l
lloyd	l'OId
lloydr	l'OId3
llready	,El'Elr'Edi
llyodr	l'aI0d3
lmaao	'Elm'A:r-oU
lmafo	'Elm'A:foU
lmake	'Elm'eIk
lmao	'Elm'aU
lmaoo	'Elm'aUoU
lmaor	'ElmeI'o@
lmaos	'Elm'aUz
lmbo	,El,Emb,i:;'oU
lmdbo	,El,Emd'i:b,i:;'oU
lmfaao	,El'Emf'A:r-oU
lmfao	,El'Emf'aU
lmfaod	,El'Emf'eI0d
lmfaofoshoo	,El'Emf'eI@f,0Su:
lmfaoo	,El'Emf'eI@r-,oU
lmfaor	,El'EmfeI'o@
lmfaoue	,El'Emf'eI@j,u:
lmm	,El,Em'Em
lnc	,El,Ens'i:
lnk	,El,Enk'eI
lnoxen	'Eln'0ks@n
lo	l'oU
loaads	l'oUadz
load	l'oUd
loaddss	l'oUds
loadits	l'oUdIts
loads	l'oUdz
loadss	l'oUds
loan	l'oUn
loans	l'oUnz
lobbyr	l'0b@
lobes	l'oUbz
lobster	l'0bst3
local	l'oUk@L
locally	l'oUk@Li
locals	l'oUk@Lz
locascio	loUk'asI2;,oU
located	loUk'eItI2d
location	loUk'eIS@n
lochness	l'0xn@s
lock	l'0k
locked	l'0kt
locks	l'0ks
loco	l'oUkoU
locuras	loUkj'U@r-@z
loegans	l'oUg@nz
lofl	l'0f@L
loft	l'0ft
log	l'0g
logd	l'0gd
logged	l'0gd
logging	l'0gIN
logic	l'0dZIk
logically	l'0dZIkli
login	l'0gIn
logo	l'oUgoU
logs	l'0gz
lohan	l'oUhan
lohans	l'oUhanz
loin	l'OIn
lol	l'0l
lolamp	l'0lamp
lolbye	l'0lbaI
lold	l'oUld
loled	l'oUld
lolfun	l'0lfVn
lolhahahhahahhahhahha	l'0lha#h,A:ha#h,A:hA:h,A:h@
lolheyi	l'0lhaI,i
lolhow	l'0lhaU
loli	l'oUli
lolim	l'0lI2m
loling	l'oUlIN
loll	l'0l
lollie	l'0li
lolliepop	l'0lIp,0p
lollies	l'0liz
lollipop	l'0lIp,0p
lollipops	l'0lIp,0ps
lolly	l'0li
lolohs	l'0loUz
lolokits	l'0l@k,Its
lolol	l'0l0l
lololol	l'0l@l,0l
lololololololololololol	l'0l@l,0l@l,0l@l,0l@l,0l@l,0l
lolquot	l'0lkw0t
lolr	l'0l3
lols	l'0lz
lolsame	l'0lseIm
lolss	l'0ls
lolwell	l'0lwEl
lolyou	l'0lI;,u:
lolz	l'0lz
lolzp	l'0lzp
lond	l'0nd
london	l'Vnd@n
londons	l'Vnd@nz
lone	l'oUn
loneky	l'oUnki
lonely	l'oUnli
lonelyhows	l'oUnlIh,aUz
lonelyr	l'oUnl@
loner	l'oUn3
lonesome	l'oUnsVm
long	l'0N
longer	l'0Ng3
longest	l'0Ng@st
longestr	l'0NgEst3
loo	l'u:
look	l'Uk
lookalike	l'Uk@l,aIk
looked	l'Ukt
lookin	l'UkIn
looking	l'UkIN
lookinnq	l'UkInk
lookk	l'Uk
looks	l'Uks
lool	l'u:l
looll	l'u:l
looman	l'u:m@n
loonngg	l'u:nNg
loose	l'u:s
loosing	l'u:sIN
loove	l'u:v
looved	l'u:vd
loovvee	l'u:vi:
